external_id,first_name,last_name,full_name,display_name,short_name,team_id
2973637,Corey,Levin,Corey Levin,Corey Levin,C. Levin,10
2577327,Tyler,Lockett,Tyler Lockett,Tyler Lockett,T. Lockett,10
4360978,David,Martin-Robinson,David Martin-Robinson,David Martin-Robinson,D. Martin-Robinson,10
4243004,Jordan,Mims,Jordan Mims,Jordan Mims,J. Mims,10
4240920,Dan,Moore Jr.,Dan Moore Jr.,Dan Moore Jr.,D. Moore Jr.,10
4429121,Kalel,Mullings,Kalel Mullings,Kalel Mullings,K. Mullings,10
3129307,Sam,Mustipher,Sam Mustipher,Sam Mustipher,S. Mustipher,10
4363554,Thomas,Odukoya,Thomas Odukoya,Thomas Odukoya,T. Odukoya,10
4240015,John,Ojukwu,John Ojukwu,John Ojukwu,J. Ojukwu,10
4360635,Chig,Okonkwo,Chig Okonkwo,Chig Okonkwo,C. Okonkwo,10
4362617,Bryce,Oliver,Bryce Oliver,Bryce Oliver,B. Oliver,10
3916148,Tony,Pollard,Tony Pollard,Tony Pollard,T. Pollard,10
3916204,James,Proche II,James Proche II,James Proche II,J. Proche II,10
4431353,Xavier,Restrepo,Xavier Restrepo,Xavier Restrepo,X. Restrepo,10
3925357,Calvin,Ridley,Calvin Ridley,Calvin Ridley,C. Ridley,10
4916597,Andrew,Rupcich,Andrew Rupcich,Andrew Rupcich,A. Rupcich,10
4430470,TJ,Sheffield,TJ Sheffield,TJ Sheffield,T. Sheffield,10
4429100,Peter,Skoronski,Peter Skoronski,Peter Skoronski,P. Skoronski,10
4876319,Jackson,Slater,Jackson Slater,Jackson Slater,J. Slater,10
4428557,Tyjae,Spears,Tyjae Spears,Tyjae Spears,T. Spears,10
3120502,Olisaemeka,Udoh,Olisaemeka Udoh,Olisaemeka Udoh,O. Udoh,10
4688380,Cameron,Ward,Cameron Ward,Cameron Ward,C. Ward,10
4360086,Josh,Whyle,Josh Whyle,Josh Whyle,J. Whyle,10
14931,Kevin,Zeitler,Kevin Zeitler,Kevin Zeitler,K. Zeitler,10
4036660,Darrell,Baker Jr.,Darrell Baker Jr.,Darrell Baker Jr.,D. Baker Jr.,10
3926229,Cody,Barton,Cody Barton,Cody Barton,C. Barton,10
4429285,Philip,Blidi,Philip Blidi,Philip Blidi,P. Blidi,10
4585317,Kendell,Brooks,Kendell Brooks,Kendell Brooks,K. Brooks,10
4244310,Mike,Brown,Mike Brown,Mike Brown,M. Brown,10
4426817,Jarvis,Brownlee Jr.,Jarvis Brownlee Jr.,Jarvis Brownlee Jr.,J. Brownlee Jr.,10
4360239,Amari,Burney,Amari Burney,Amari Burney,A. Burney,10
4428987,Desmond,Evans,Desmond Evans,Desmond Evans,D. Evans,10
4243321,Ali,Gaye,Ali Gaye,Ali Gaye,A. Gaye,10
4426398,David,Gbenda,David Gbenda,David Gbenda,D. Gbenda,10
4429834,Cedric,Gray,Cedric Gray,Cedric Gray,C. Gray,10
4429058,Jaylen,Harrell,Jaylen Harrell,Jaylen Harrell,J. Harrell,10
4429747,Jermari,Harris,Jermari Harris,Jermari Harris,J. Harris,10
4570469,Marcus,Harris,Marcus Harris,Marcus Harris,M. Harris,10
4036134,Amani,Hooker,Amani Hooker,Amani Hooker,A. Hooker,10
