external_id,season,matchup
1981005020,1968,SD @ NYJ
1981006001,1968,GB @ ATL
1981006007,1968,CIN @ DEN
1981006010,1968,MIA @ TEN
1981006150,1968,CHI @ IND
1981006013,1968,NE @ OAK
1981006014,1968,SF @ LAR
1981006016,1968,DET @ MIN
1981006019,1968,NO @ NYG
1981006022,1968,DAL @ ARI
1981006028,1968,PHI @ WSH
1981012015,1968,BUF @ MIA
1981013001,1968,NYG @ ATL
1981013003,1968,DET @ CHI
1981013005,1968,ARI @ CLE
1981013006,1968,PHI @ DAL
1981013009,1968,LAR @ GB
1981013012,1968,CIN @ KC
1981013013,1968,SD @ OAK
1981013017,1968,TEN @ NE
1981013018,1968,MIN @ NO
1981013020,1968,DEN @ NYJ
1981013025,1968,PIT @ SF
1981013028,1968,PIT @ WSH
1981020004,1968,MIA @ CIN
1981020008,1968,GB @ DET
1981020010,1968,NYG @ TEN
1981020150,1968,CLE @ IND
1981020012,1968,OAK @ KC
1981020014,1968,ATL @ LAR
1981020016,1968,DAL @ MIN
1981020017,1968,BUF @ NE
1981020019,1968,SF @ NYG
1981020021,1968,CHI @ PHI
1981020022,1968,WSH @ ARI
1981020023,1968,CLE @ PIT
1981020024,1968,DEN @ SD
1981027002,1968,TEN @ BUF
1981027003,1968,MIN @ CHI
1981027005,1968,ATL @ CLE
1981027007,1968,MIA @ DEN
1981027008,1968,SF @ DET
1981027150,1968,LAR @ IND
1981027012,1968,SD @ KC
1981027013,1968,CIN @ OAK
1981027020,1968,NE @ NYJ
1981027022,1968,NO @ ARI
1981027023,1968,LAR @ PIT
1981027028,1968,NYG @ WSH
1981028006,1968,GB @ DAL
1981102019,1968,PIT @ NYG
1981103001,1968,PIT @ ATL
1981103004,1968,TEN @ CIN
1981103009,1968,CHI @ GB
1981103013,1968,KC @ OAK
1981103014,1968,DET @ LAR
1981103016,1968,WSH @ MIN
1981103017,1968,DEN @ NE
1981103018,1968,DAL @ NO
1981103019,1968,IND @ NYG
1981103020,1968,BUF @ NYJ
1981103021,1968,ARI @ PHI
1981103024,1968,MIA @ SD
1981103025,1968,CLE @ SF
1981110001,1968,LAR @ ATL
1981110002,1968,MIA @ BUF
1981110003,1968,SF @ CHI
1981110004,1968,KC @ CIN
1981110005,1968,NO @ CLE
1981110006,1968,NYG @ DAL
1981110007,1968,OAK @ DEN
1981110008,1968,PIT @ DET
1981110016,1968,GB @ MIN
1981110017,1968,SD @ NE
1981110019,1968,TEN @ NYG
1981110020,1968,TEN @ NYJ
1981110021,1968,WSH @ PHI
1981110022,1968,PIT @ ARI
1981117002,1968,SD @ BUF
1981117003,1968,ATL @ CHI
1981117008,1968,MIN @ DET
1981117009,1968,NO @ GB
1981117010,1968,DEN @ TEN
1981117150,1968,ARI @ IND
1981117012,1968,NE @ KC
1981117013,1968,NYJ @ OAK
1981117015,1968,CIN @ MIA
1981117019,1968,PHI @ NYG
1981117023,1968,CLE @ PIT
1981117025,1968,LAR @ SF
1981117028,1968,DAL @ WSH
1981124003,1968,DAL @ CHI
1981124004,1968,OAK @ CIN
1981124005,1968,PHI @ CLE
1981124007,1968,BUF @ DEN
1981124008,1968,NO @ DET
1981124150,1968,MIN @ IND
1981124014,1968,NYG @ LAR
1981124017,1968,MIA @ NE
1981124022,1968,ATL @ ARI
1981124023,1968,MIN @ PIT
1981124024,1968,NYJ @ SD
1981124028,1968,GB @ WSH
1981128006,1968,WSH @ DAL
1981128008,1968,PHI @ DET
1981128012,1968,TEN @ KC
1981128013,1968,BUF @ OAK
1981201005,1968,NYG @ CLE
1981201007,1968,SD @ DEN
1981201150,1968,ATL @ IND
1981201016,1968,LAR @ MIN
1981201017,1968,CIN @ NE
1981201018,1968,CHI @ NO
1981201019,1968,MIA @ NYG
1981201020,1968,MIA @ NYJ
1981201023,1968,ATL @ PIT
1981201025,1968,GB @ SF
1981207009,1968,PIT @ GB
1981207010,1968,BUF @ TEN
1981208001,1968,DAL @ ATL
1981208002,1968,DET @ BUF
1981208006,1968,PIT @ DAL
1981208013,1968,DEN @ OAK
1981208014,1968,CHI @ LAR
1981208015,1968,NE @ MIA
1981208019,1968,ARI @ NYG
1981208020,1968,CIN @ NYJ
1981208021,1968,NO @ PHI
1981208024,1968,KC @ SD
1981208025,1968,MIN @ SF
1981208028,1968,CLE @ WSH
1981214007,1968,KC @ DEN
1981214022,1968,CLE @ ARI
1981215001,1968,SF @ ATL
1981215003,1968,GB @ CHI
1981215010,1968,NE @ TEN
1981215014,1968,PIT @ LAR
1981215015,1968,NYG @ MIA
1981215019,1968,DAL @ NYG
1981215021,1968,MIN @ PHI
1981215024,1968,OAK @ SD
1981215028,1968,DET @ WSH
1981221005,1968,DAL @ CLE
1981222033,1968,MIN @ IND
1981222013,1968,ATL @ OAK
1981229005,1968,IND @ CLE
1981229020,1968,OAK @ NYJ
1990112033,1969,NYJ @ IND
1990914002,1969,NYJ @ BUF
1990914004,1969,MIA @ CIN
1990914007,1969,NE @ DEN
1990914013,1969,TEN @ OAK
1990914024,1969,KC @ SD
1990920009,1969,DET @ GB
1990920013,1969,MIA @ OAK
1990921001,1969,SF @ ATL
1990921002,1969,TEN @ BUF
1990921004,1969,SD @ CIN
1990921006,1969,ARI @ DAL
1990921007,1969,NYJ @ DEN
1990921009,1969,CHI @ GB
1990921150,1969,LAR @ IND
1990921017,1969,KC @ NE
1990921018,1969,WSH @ NO
1990921019,1969,MIN @ NYG
1990921021,1969,CLE @ PHI
1990921023,1969,DET @ PIT
1990927009,1969,ATL @ GB
1990928002,1969,DEN @ BUF
1990928004,1969,KC @ CIN
1990928005,1969,WSH @ CLE
1990928008,1969,NYG @ DET
1990928009,1969,SF @ GB
1990928010,1969,MIA @ TEN
1990928014,1969,ATL @ LAR
1990928016,1969,PIT @ MIN
1990928017,1969,OAK @ NE
1990928018,1969,DAL @ NO
1990928021,1969,PIT @ PHI
1990928022,1969,CHI @ ARI
1990928024,1969,NYJ @ SD
1991001150,1969,SF @ IND
1991004009,1969,MIN @ GB
1991004015,1969,OAK @ MIA
1991004024,1969,CIN @ SD
1991005001,1969,PIT @ ATL
1991005005,1969,DET @ CLE
1991005007,1969,KC @ DEN
1991005010,1969,BUF @ TEN
1991005034,1969,BUF @ TEN
1991005014,1969,NO @ LAR
1991005016,1969,GB @ MIN
1991005017,1969,NYJ @ NE
1991005019,1969,CHI @ NYG
1991005021,1969,DAL @ PHI
1991005023,1969,ARI @ PIT
1991005025,1969,WSH @ SF
1991006019,1969,CHI @ NYG
1991011002,1969,NE @ BUF
1991011015,1969,SD @ MIA
1991012001,1969,DAL @ ATL
1991012003,1969,MIN @ CHI
1991012004,1969,NYJ @ CIN
1991012007,1969,OAK @ DEN
1991012008,1969,GB @ DET
1991012012,1969,TEN @ KC
1991012018,1969,CLE @ NO
1991012019,1969,PIT @ NYG
1991012024,1969,GB @ SD
1991012025,1969,LAR @ SF
1991012028,1969,ARI @ WSH
1991013150,1969,PHI @ IND
1991013023,1969,PHI @ PIT
1991018004,1969,PIT @ CIN
1991018005,1969,PIT @ CLE
1991018009,1969,LAR @ GB
1991019004,1969,DEN @ CIN
1991019006,1969,PHI @ DAL
1991019008,1969,CHI @ DET
1991019012,1969,MIA @ KC
1991019013,1969,BUF @ OAK
1991019014,1969,GB @ LAR
1991019017,1969,SD @ NE
1991019018,1969,PIT @ NO
1991019022,1969,MIN @ ARI
1991019025,1969,ATL @ SF
1991019028,1969,NYG @ WSH
1991020019,1969,TEN @ NYG
1991020020,1969,TEN @ NYJ
1991023023,1969,SF @ PIT
1991025009,1969,PHI @ GB
1991026003,1969,LAR @ CHI
1991026005,1969,ARI @ CLE
1991026009,1969,ATL @ GB
1991026010,1969,DEN @ TEN
1991026012,1969,CIN @ KC
1991026015,1969,BUF @ MIA
1991026016,1969,DET @ MIN
